Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasNearSurfaceAirTemperature,Object Property,,,http://sweetontology.net/propSpaceLocation/Location,NearSurfaceAirTemperature,,An object property that relates a location to a near-surface air temperature quantity observed or estimated at a specific time.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasNearSurfaceAirTemperature
measuredAtTime,Object Property,,,LandSurfaceTemperature,http://www.w3.org/2006/time#Instant,,The time instant when the temperatue was recorded.,http://www.w3.org/2006/time,measuredAtTime
measuredAtHeight,Object Property,,,NearSurfaceAirTemperature,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,,Relates a measurement to the height at which it was made.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,measuredAtHeight
SubsoilWaterContent,Class,http://sweetontology.net/propSpaceThickness/WaterContent,IS-A,,,,A hydrological quantity that represents the amount of water contained in the subsoil layer of a geographic area at a specified location and time.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilWaterContent
TopsoilWaterContent,Class,http://sweetontology.net/propSpaceThickness/WaterContent,IS-A,,,,A hydrological quantity that represents the amount of water contained within the topsoil layer of a geographic area at a specified location and time.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilWaterContent
SoilProperty,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,"A property that represents a physical, hydrological, chemical, biological, or compositional characteristic of soil at a specified location and, where applicable, at a specified time.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SoilProperty
SoilWaterContent,Class,SoilProperty,IS-A,,,,A SoilProperty representing the amount of water contained within a soil layer at a specified location and time.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SoilWaterContent
SubsoilWaterContent,Class,SoilWaterContent,IS-A,,,,A hydrological quantity that represents the amount of water contained in the subsoil layer of a geographic area at a specified location and time.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilWaterContent
TopsoilWaterContent,Class,SoilWaterContent,IS-A,,,,A hydrological quantity that represents the amount of water contained within the topsoil layer of a geographic area at a specified location and time.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilWaterContent
SoilTextureProperty,Class,SoilProperty,IS-A,,,,"A SoilProperty that represents the texture of a soil layer, typically characterised by the relative proportions of particle-size fractions or by a derived soil texture classification.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SoilTextureProperty
ClayContent,Class,SoilTextureProperty,IS-A,,,,A SoilTextureProperty representing the proportion of clay-sized particles present within a soil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,ClayContent
SubsoilClayContent,Class,ClayContent,IS-A,,,,A ClayContent representing the proportion of clay-sized particles present within the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilClayContent
TopsoilClayContent,Class,ClayContent,IS-A,,,,A ClayContent representing the proportion of clay-sized particles present within the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilClayContent
SandContent,Class,SoilTextureProperty,IS-A,,,,A SoilTextureProperty representing the proportion of sand-sized particles present within a soil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SandContent
SubsoilSandContent,Class,SandContent,IS-A,,,,A SandContent representing the proportion of sand-sized particles present within the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilSandContent
TopsoilSandContent,Class,SandContent,IS-A,,,,A SandContent representing the proportion of sand-sized particles present within the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilSandContent
SiltContent,Class,SoilTextureProperty,IS-A,,,,A SoilTextureProperty representing the proportion of silt-sized particles present within a soil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SiltContent
SubsoilSiltContent,Class,SiltContent,IS-A,,,,A SiltContent representing the proportion of silt-sized particles present within the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilSiltContent
TopsoilSiltContent,Class,SiltContent,IS-A,,,,A SiltContent representing the proportion of silt-sized particles present within the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilSiltContent
GravelContent,Class,SoilTextureProperty,IS-A,,,,A SoilTextureProperty representing the proportion of gravel-sized fragments present within a soil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,GravelContent
SubsoilGravelContent,Class,GravelContent,IS-A,,,,A GravelContent representing the proportion of gravel-sized fragments present within the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilGravelContent
TopsoilGravelContent,Class,GravelContent,IS-A,,,,A GravelContent representing the proportion of gravel-sized fragments present within the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilGravelContent
SoilTextureClass,Class,SoilTextureProperty,IS-A,,,,"A SoilTextureProperty representing the texture classification assigned to a soil layer based on the relative proportions of clay, silt, and sand.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SoilTextureClass
SubsoilTextureClass,Class,SoilTextureClass,IS-A,,,,A SoilTextureClass representing the texture classification assigned to the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilTextureClass
TopsoilTextureClass,Class,SoilTextureClass,IS-A,,,,A SoilTextureClass representing the texture classification assigned to the topsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,TopsoilTextureClass
OrganicCarbonContent,Class,SoilCompositionProperty,IS-A,,,,A SoilCompositionProperty representing the amount of organic carbon contained within a soil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,OrganicCarbonContent
SubsoilOrganicCarbonContent,Class,OrganicCarbonContent,IS-A,,,,An OrganicCarbonContent representing the amount or proportion of organic carbon contained within the subsoil layer.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SubsoilOrganicCarbonContent
